comparison,candidate,reference,metric,candidate_point,reference_point,difference_point,ci_low,ci_high,two_sided_empirical_p,bootstrap_reps,patient_count,roi_count
ordinal_increment,Original_CORAL_60_40,Original_60_40,accuracy,0.7343854936198791,0.7115513767629281,0.022834116856951026,0.013251074751541976,0.03223710177147601,0.0003999200159968006,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,macro_f1,0.6115822137803726,0.6111795923140857,0.0004026214662868899,-0.010736821715338213,0.011098566324325213,0.9582083583283343,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,weighted_f1,0.7456680601382877,0.7331334545893092,0.01253460554897845,0.0038523736187029713,0.02086011408987146,0.005598880223955209,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,qwk,0.7886384338696317,0.7750247603832812,0.013613673486350564,0.006638514311035643,0.02028794762622908,0.0003999200159968006,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,mae,0.29751511081262594,0.31900604432505036,-0.021490933512424426,-0.031070846682548836,-0.011336213222109382,0.0003999200159968006,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,high_risk_recall_argmax,0.7835497835497836,0.7813852813852814,0.0021645021645021467,-0.008989778578131666,0.013592563238887842,0.8774245150969806,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,false_clear_rate_argmax,0.21645021645021645,0.21861471861471862,-0.0021645021645021745,-0.013592563238887792,0.008989778578131711,0.8774245150969806,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,risk_auprc,0.8425526801685774,0.8387296207227268,0.003823059445850596,-0.0063732038389629824,0.013200328718705037,0.4287142571485703,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,risk_brier,0.056973035894542536,0.059643937216811244,-0.002670901322268708,-0.003558715208613283,-0.001748972876105561,0.0003999200159968006,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,risk_ece,0.04122167558325457,0.06190398217576441,-0.020682306592509844,-0.023941740176385045,-0.01572743042028975,0.0003999200159968006,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,crossfit_roi_recall,0.9004329004329005,0.8961038961038961,0.0043290043290044045,-0.0075261395676690865,0.016737278843539233,0.6142771445710857,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,crossfit_roi_specificity,0.8815580286168522,0.8751987281399046,0.006359300476947549,0.001537766857013537,0.011346652102779653,0.015996800639872025,5000,468,2978
ordinal_increment,Original_CORAL_60_40,Original_60_40,crossfit_roi_flag_rate,0.2397582269979852,0.24445936870382806,-0.004701141705842848,-0.009327192956556105,0.0,0.05318936212757448,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,accuracy,0.7444593687038281,0.7343854936198791,0.010073875083948969,0.0025729468599033868,0.017857142857142797,0.009998000399920015,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,macro_f1,0.6138206405314282,0.6115822137803726,0.0022384267510555667,-0.008063618036578905,0.01213847784068077,0.6666666666666666,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,weighted_f1,0.7505272010368453,0.7456680601382877,0.004859140898557657,-0.0022640063923057368,0.011881757333632885,0.1887622475504899,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,qwk,0.7940985052434533,0.7886384338696317,0.00546007137382154,-0.0009371995303779189,0.011928661168770236,0.10277944411117776,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,mae,0.2877770315648086,0.29751511081262594,-0.009738079247817333,-0.017790342069858994,-0.0017318417213245086,0.01999600079984003,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,high_risk_recall_argmax,0.79004329004329,0.7835497835497836,0.00649350649350644,-0.006396588486140775,0.01882845188284521,0.3899220155968806,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,false_clear_rate_argmax,0.20995670995670995,0.21645021645021645,-0.006493506493506496,-0.018828451882845182,0.0063965884861407205,0.3899220155968806,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,risk_auprc,0.8350553628784526,0.8425526801685774,-0.007497317290124816,-0.019464404301287746,0.004345247756219728,0.20835832833433313,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,risk_brier,0.054967795514755106,0.056973035894542536,-0.002005240379787429,-0.005156942523014657,0.0010668997976674142,0.20235952809438112,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,risk_ece,0.013152975231263483,0.04122167558325457,-0.028068700351991084,-0.036980834313774746,-0.013184200617862386,0.0003999200159968006,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,crossfit_roi_recall,0.8961038961038961,0.9004329004329005,-0.0043290043290044045,-0.02721243042671616,0.01867219917012442,0.7906418716256749,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,crossfit_roi_specificity,0.8616852146263911,0.8815580286168522,-0.019872813990461036,-0.029515615285283847,-0.010445857354689982,0.0003999200159968006,5000,468,2978
risk_auxiliary_increment,Original_CORAL_RISK_G_60_40,Original_CORAL_60_40,crossfit_roi_flag_rate,0.2558764271323036,0.2397582269979852,0.01611820013431836,0.007595647444533108,0.025033158030182065,0.0011997600479904018,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,accuracy,0.7444593687038281,0.7115513767629281,0.032907991940899994,0.0220757274385238,0.044179240698042334,0.0003999200159968006,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,macro_f1,0.6138206405314282,0.6111795923140857,0.0026410482173424565,-0.01014265069330229,0.015045616794621262,0.6730653869226155,5000,468,2978
